unique_id,ds,y
chandigarh,2019-03-01,221418.0
chandigarh,2019-04-01,210025.0
chandigarh,2019-05-01,208998.0
chandigarh,2019-06-01,193184.0
chandigarh,2019-07-01,202789.0
chandigarh,2019-08-01,206013.0
chandigarh,2019-09-01,214603.0
chandigarh,2019-10-01,224641.0
chandigarh,2019-11-01,206888.0
chandigarh,2019-12-01,203945.0
chandigarh,2020-01-01,199905.0
chandigarh,2020-02-01,208463.0
chandigarh,2020-03-01,204174.4
chandigarh,2020-04-01,199885.8
chandigarh,2020-05-01,195597.2
chandigarh,2020-06-01,191308.6
chandigarh,2020-07-01,187020.0
chandigarh,2020-08-01,179888.0
chandigarh,2020-09-01,203466.0
chandigarh,2020-10-01,235293.0
chandigarh,2020-11-01,201460.0
chandigarh,2020-12-01,210238.0
chandigarh,2021-01-01,202156.0
chandigarh,2021-02-01,212010.0
chandigarh,2021-03-01,240540.0
chandigarh,2021-04-01,213318.0
chandigarh,2021-05-01,148076.0
chandigarh,2021-06-01,200940.0
chandigarh,2021-07-01,229090.0
chandigarh,2021-08-01,230437.0
chandigarh,2021-09-01,241735.0
chandigarh,2021-10-01,244333.0
chandigarh,2021-11-01,216558.0
chandigarh,2021-12-01,238822.0
chandigarh,2022-01-01,216121.0
chandigarh,2022-02-01,220236.0
chandigarh,2022-03-01,267409.0
chandigarh,2022-04-01,251927.0
chandigarh,2022-05-01,242813.0
chandigarh,2022-06-01,244985.0
chandigarh,2022-07-01,249457.0
chandigarh,2022-08-01,256482.0
chandigarh,2022-09-01,275470.0
chandigarh,2022-10-01,261656.0
chandigarh,2022-11-01,255332.0
chandigarh,2022-12-01,258668.0
chandigarh,2023-01-01,241697.0
chandigarh,2023-02-01,247716.0
chandigarh,2023-03-01,286264.0
chandigarh,2023-04-01,267165.0
chandigarh,2023-05-01,273075.0
chandigarh,2023-06-01,261679.0
chandigarh,2023-07-01,256695.0
chandigarh,2023-08-01,286884.0
chandigarh,2023-09-01,291139.0
chandigarh,2023-10-01,319101.0
chandigarh,2023-11-01,272486.0
chandigarh,2023-12-01,286420.0
chandigarh,2024-01-01,282084.0
chandigarh,2024-02-01,288678.0
chandigarh,2024-03-01,314707.0
chandigarh,2024-04-01,297931.0
chandigarh,2024-05-01,325399.0
chandigarh,2024-06-01,305375.0
chandigarh,2024-07-01,332011.0
chandigarh,2024-08-01,321365.0
chandigarh,2024-09-01,338691.0
chandigarh,2024-10-01,393407.0
chandigarh,2024-11-01,321962.0
chandigarh,2024-12-01,343037.0
chandigarh,2025-01-01,359279.0
chandigarh,2025-02-01,340395.0
chandigarh,2025-03-01,388006.0
chandigarh,2025-04-01,372217.0
chandigarh,2025-05-01,358416.0
chandigarh,2025-06-01,346715.0
chandigarh,2025-07-01,388755.0
chandigarh,2025-08-01,393344.0
chandigarh,2025-09-01,431180.0
chandigarh,2025-10-01,447177.0
chandigarh,2025-11-01,423048.0
chandigarh,2025-12-01,449806.0
chandigarh,2026-01-01,433366.0
chandigarh,2026-02-01,428758.0
chandigarh,2026-03-01,469274.0
chandigarh,2026-04-01,438267.0
chandigarh,2026-05-01,437117.0
chandigarh,2026-06-01,415456.0
chandigarh,2026-07-01,421459.0
chhattisgarh,2018-07-01,610475.0
chhattisgarh,2018-08-01,695484.0
chhattisgarh,2018-09-01,670426.0
chhattisgarh,2018-10-01,709551.0
chhattisgarh,2018-11-01,541292.0
chhattisgarh,2018-12-01,661886.0
chhattisgarh,2019-01-01,714324.0
chhattisgarh,2019-02-01,713504.0
chhattisgarh,2019-03-01,746711.0
chhattisgarh,2019-04-01,684490.0
chhattisgarh,2019-05-01,693953.0
chhattisgarh,2019-06-01,648532.0
chhattisgarh,2019-07-01,664095.0
chhattisgarh,2019-08-01,650288.0
chhattisgarh,2019-09-01,616694.0
chhattisgarh,2019-10-01,615534.0
chhattisgarh,2019-11-01,657040.0
chhattisgarh,2019-12-01,723272.0
chhattisgarh,2020-01-01,752071.0
chhattisgarh,2020-02-01,749313.0
chhattisgarh,2020-03-01,724415.8
chhattisgarh,2020-04-01,699518.6
chhattisgarh,2020-05-01,674621.4
chhattisgarh,2020-06-01,649724.2
chhattisgarh,2020-07-01,624827.0
chhattisgarh,2020-08-01,602254.0
chhattisgarh,2020-09-01,623216.0
chhattisgarh,2020-10-01,788258.0
chhattisgarh,2020-11-01,676418.0
chhattisgarh,2020-12-01,823293.0
chhattisgarh,2021-01-01,828059.0
chhattisgarh,2021-02-01,827448.0
chhattisgarh,2021-03-01,856209.0
chhattisgarh,2021-04-01,539565.0
chhattisgarh,2021-05-01,504345.0
chhattisgarh,2021-06-01,719157.0
chhattisgarh,2021-07-01,750415.0
chhattisgarh,2021-08-01,792542.0
chhattisgarh,2021-09-01,724036.0
chhattisgarh,2021-10-01,597540.0
chhattisgarh,2021-11-01,673190.0
chhattisgarh,2021-12-01,841983.0
chhattisgarh,2022-01-01,841033.0
chhattisgarh,2022-02-01,853839.0
chhattisgarh,2022-03-01,930294.0
chhattisgarh,2022-04-01,892817.0
chhattisgarh,2022-05-01,831311.0
chhattisgarh,2022-06-01,827459.0
chhattisgarh,2022-07-01,830805.0
chhattisgarh,2022-08-01,835966.0
chhattisgarh,2022-09-01,925959.0
chhattisgarh,2022-10-01,827282.0
chhattisgarh,2022-11-01,927640.0
chhattisgarh,2022-12-01,1018886.0
chhattisgarh,2023-01-01,1061045.0
chhattisgarh,2023-02-01,1057094.0
chhattisgarh,2023-03-01,1087911.0
chhattisgarh,2023-04-01,1048372.0
chhattisgarh,2023-05-01,1063424.0
chhattisgarh,2023-06-01,1030286.0
chhattisgarh,2023-07-01,1031054.0
chhattisgarh,2023-08-01,1100030.0
chhattisgarh,2023-09-01,1042380.0
chhattisgarh,2023-10-01,1200206.0
chhattisgarh,2023-11-01,993876.0
chhattisgarh,2023-12-01,1126520.0
chhattisgarh,2024-01-01,1163719.0
chhattisgarh,2024-02-01,1240472.0
chhattisgarh,2024-03-01,1276567.0
chhattisgarh,2024-04-01,1223908.0
chhattisgarh,2024-05-01,1302844.0
chhattisgarh,2024-06-01,1545764.0
chhattisgarh,2024-07-01,1567445.0
chhattisgarh,2024-08-01,1556781.0
chhattisgarh,2024-09-01,1616144.0
chhattisgarh,2024-10-01,1853550.0
chhattisgarh,2024-11-01,1614352.0
chhattisgarh,2024-12-01,1858688.0
chhattisgarh,2025-01-01,2114026.0
chhattisgarh,2025-02-01,1943013.0
chhattisgarh,2025-03-01,2162984.0
chhattisgarh,2025-04-01,1935423.0
chhattisgarh,2025-05-01,1946530.0
chhattisgarh,2025-06-01,1914732.0
chhattisgarh,2025-07-01,1953323.0
chhattisgarh,2025-08-01,1885322.0
chhattisgarh,2025-09-01,1948937.0
chhattisgarh,2025-10-01,1813320.0
chhattisgarh,2025-11-01,1948559.0
chhattisgarh,2025-12-01,2078542.0
chhattisgarh,2026-01-01,2223704.0
chhattisgarh,2026-02-01,2228337.0
chhattisgarh,2026-03-01,2329257.0
chhattisgarh,2026-04-01,2136768.0
chhattisgarh,2026-05-01,2118935.0
chhattisgarh,2026-06-01,2189787.0
chhattisgarh,2026-07-01,2144855.0
delhi,2018-07-01,3080492.0
delhi,2018-08-01,3599140.0
delhi,2018-09-01,3700947.0
delhi,2018-10-01,4214512.0
delhi,2018-11-01,3313515.0
delhi,2018-12-01,3692499.0
delhi,2019-01-01,3744909.0
delhi,2019-02-01,3667558.0
delhi,2019-03-01,3969229.0
delhi,2019-04-01,3892901.0
delhi,2019-05-01,3943279.0
delhi,2019-06-01,3438938.0
delhi,2019-07-01,3651453.0
delhi,2019-08-01,3750261.0
delhi,2019-09-01,4102139.0
delhi,2019-10-01,4094117.0
delhi,2019-11-01,3828511.0
delhi,2019-12-01,3659621.0
delhi,2020-01-01,3871837.0
delhi,2020-02-01,3913739.0
delhi,2020-03-01,3724687.0
delhi,2020-04-01,3535635.0
delhi,2020-05-01,3346583.0
delhi,2020-06-01,3157531.0
delhi,2020-07-01,2968479.0
delhi,2020-08-01,3034302.0
delhi,2020-09-01,3697927.0
delhi,2020-10-01,4382238.0
delhi,2020-11-01,3672395.0
delhi,2020-12-01,3920524.0
delhi,2021-01-01,3764733.0
delhi,2021-02-01,4065888.0
delhi,2021-03-01,4561523.0
delhi,2021-04-01,3018620.0
delhi,2021-05-01,1743184.0
delhi,2021-06-01,3316527.0
delhi,2021-07-01,3924402.0
delhi,2021-08-01,4110682.0
delhi,2021-09-01,4621878.0
delhi,2021-10-01,4465420.0
delhi,2021-11-01,4035613.0
delhi,2021-12-01,4601870.0
